source_number,name,alt_name,ra,dec,ra_dec,cluster_radius,distance,log_age
366,NGC 6025,,16 03.3,-60 26,16 03.3 -60 26,0.38,769,7.96
367,Nor OB5,,16 10.6,-49 02,16 10.6 -49 02,1,1800,7.11
368,Lynga 7,,16 10.7,-55 17,16 10.7 -55 17,0.15,750,7.11
369,NGC 6067,,16 13.2,-54 13,16 13.2 -54 13,0.25,1417,8.01
370,Harvard 10,Collinder 299,16 18.8,-54 56,16 18.8 -54 56,0.55,1312,7.87
371,NGC 6087,,16 18.8,-57 56,16 18.8 -57 56,0.48,901,7.93
372,Ruprecht 116,,16 23.3,-52 00,16 23.3 -52 00,0.1,900,8.95
373,NGC 6124,,16 25.3,-40 39,16 25.3 -40 39,0.55,470,8.34
374,NGC 6134,,16 27.8,-49 09,16 27.8 -49 09,0.13,913,8.53
375,Ruprecht 119,,16 28.3,-51 30,16 28.3 -51 30,0.12,956,7.43
376,NGC 6152,,16 32.7,-52 38,16 32.7 -52 38,0.36,1030,8.65
377,NGC 6167,,16 34.6,-49 46,16 34.6 -49 46,0.17,1108,8.16
378,NGC 6178,,16 35.8,-45 38,16 35.8 -45 38,0.16,1014,7.51
379,NGC 6192,,16 40.4,-43 22,16 40.4 -43 22,0.17,1547,8.13
380,NGC 6193,,16 41.3,-48 46,16 41.3 -48 46,0.25,1155,6.9
381,NGC 6200,,16 44.1,-47 28,16 44.1 -47 28,0.2,2054,7
382,NGC 6204,,16 46.1,-47 01,16 46.1 -47 01,0.08,1085,8.28
383,Hogg 22,,16 46.6,-47 05,16 46.6 -47 05,0.08,1297,6.7
384,NGC 6208,,16 49.4,-53 44,16 49.4 -53 44,0.14,939,9.07
385,NGC 6231,,16 54.2,-41 50,16 54.2 -41 50,0.22,1250,6.81
386,ESO 332-08,,16 54.7,-40 43,16 54.7 -40 43,0.13,1200,8.17
387,NGC 6242,,16 55.6,-39 28,16 55.6 -39 28,0.28,1131,7.63
388,vdBergh-Hagen 205,,16 56.2,-40 40,16 56.2 -40 40,0.06,2160,7.12
389,NGC 6249,,16 57.7,-44 49,16 57.7 -44 49,0.2,981,7.54
390,NGC 6250,,16 58.0,-45 56,16 58.0 -45 56,0.4,865,7.42
391,NGC 6268,,17 02.2,-39 44,17 02.2 -39 44,0.14,1029,8.24
392,NGC 6281,,17 04.7,-37 59,17 04.7 -37 59,0.45,494,8.51
393,Sco OB4,,17 12.6,-33 22,17 12.6 -33 22,1.7,1100,6.82
394,Bochum 13,,17 17.4,-35 33,17 17.4 -35 33,0.18,1077,7.08
395,NGC 6322,,17 18.4,-42 56,17 18.4 -42 56,0.12,995,7.16
396,vdBergh-Hagen 221,,17 18.7,-32 20,17 18.7 -32 20,0.23,750,8.01
397,IC 4651,,17 24.8,-49 56,17 24.8 -49 56,0.18,888,8.92
398,Trumpler 26,,17 28.6,-29 30,17 28.6 -29 30,0.16,2800,8.38
399,Antalova 1,,17 28.9,-31 34,17 28.9 -31 34,0.22,850,8.5
400,Ruprecht 125,,17 29.6,-40 28,17 29.6 -40 28,0.17,1500,8.77
401,Collinder 333,,17 31.5,-34 01,17 31.5 -34 01,0.15,855,8.9
402,NGC 6383,,17 34.8,-32 34,17 34.8 -32 34,0.25,985,6.71
403,Trumpler 27,,17 36.4,-33 31,17 36.4 -33 31,0.25,1211,7.47
